feature	AdaBoost	CatBoost	DecisionTree	GradientBoosting	KNN	LightGBM	LogisticRegression	MLP	NaiveBayes	RandomForest	SVM	XGBoost
alcohol	0.0016702087971094848	0.2288297814562768	5.737494280394918	0.22025593279720038	1.712912522984786	0.4126577221320148	0.17834235237462542	0.22601433522822817	0.0791000690516623	0.32855840705863526	0.1399011123048762	0.2780452851957488
chlorides	3.3604209610405e-06	0.06530796833762101	2.116745462669969	0.0	0.0	0.043624369085616954	0.0	0.0	0.0	0.1350646115398239	0.0	0.05410830458741991
citric acid	2.462982250618362e-05	0.05778075922217887	2.7180191351156964	0.02093893213382734	0.5647067645153566	0.08914024630127057	0.0	0.0	-0.07424214151444701	0.08788755976073315	0.0	0.06808797101517536
density	0.0	0.06444667223199911	1.9561873703002655	0.02866713151513871	0.46322136800233615	0.02064066426534523	0.14783584461160998	0.5122279446317601	-0.10792513796068459	0.16906138827507472	0.07155353539883012	0.13350630046455478
fixed acidity	0.0	0.0	0.0	0.01818287961415165	0.46644341482323615	0.0	0.05841165126831125	0.1321139957067865	0.01881535940703514	0.08523193400053257	0.03233483515416378	0.0
free sulfur dioxide	0.00016438832830424356	0.09324732869670108	1.9430805872496777	0.051258078385303385	0.5421722701911655	0.14544899386446525	0.023524738399367372	0.16990821451066968	-0.03783477233538697	0.0	0.03745623302330433	0.09402434798545221
pH	1.788347231757026e-06	0.06951752316080635	1.7169885796270337	0.0	0.8250842879212428	0.028861829139274375	0.025056972458917602	0.10764862834697357	0.010240679757957949	0.07118416284583846	0.03403649079286858	0.06281979604205809
residual sugar	0.0	0.06320325610806639	1.77596910335468	0.044046292845017376	1.0384279689125084	0.0820286861003724	0.12030012085090973	0.2885830304354895	-0.033767767501595936	0.12105355206307858	0.04973920282569542	0.06291160555637958
sulphates	0.00014203030409425387	0.13347821205733584	1.5678989224265947	0.04259992441811559	0.8934978486081985	0.1734291022878635	0.035199013843957704	0.14961421834123406	-0.0833381811881763	0.0911141252609264	0.05750482900321378	0.1458987507623799
total sulfur dioxide	1.2884545388114343e-05	0.09359845568429861	1.7792457991173272	0.04462817753808068	1.1658071371046106	0.1986258079066094	0.03362223135750895	0.2851158663998975	0.0	0.09190820428189865	0.06531614740510838	0.10267758527526918
type	0.0	0.0	0.0	0.025888133757746866	0.0	0.0	0.11456447954460662	0.14370407988290435	-0.15836867162540286	0.0	0.024429424397901432	0.0
volatile acidity	0.0003139329523340173	0.1223839883764507	4.5120100651649375	0.10258686097055807	0.46188501949677513	0.15029408742280728	0.13721128616085335	0.19834602408428575	-0.11099209775526372	0.11790333211895028	0.08669162841190654	0.10631697357479579
